iter	Passed	Remaining
413	3377	4780
414	3385	4772
415	3394	4765
416	3402	4757
417	3411	4750
418	3420	4742
419	3428	4734
420	3437	4727
421	3446	4720
422	3454	4712
423	3462	4703
424	3469	4694
425	3477	4685
426	3484	4675
427	3491	4666
428	3498	4656
429	3505	4647
430	3512	4637
431	3520	4628
432	3527	4619
433	3534	4609
434	3542	4600
435	3549	4591
436	3556	4582
437	3563	4572
438	3571	4563
439	3578	4555
440	3586	4545
441	3594	4538
442	3601	4528
443	3609	4519
444	3616	4510
445	3624	4501
446	3631	4492
447	3639	4484
448	3646	4474
449	3654	4466
450	3662	4458
451	3671	4451
452	3678	4442
453	3687	4434
454	3695	4426
455	3704	4419
456	3712	4411
457	3721	4404
458	3730	4397
459	3740	4390
460	3748	4382
461	3756	4374
462	3764	4365
463	3772	4358
464	3780	4349
465	3788	4340
466	3795	4332
467	3802	4322
468	3810	4314
469	3817	4304
470	3824	4295
471	3831	4286
472	3839	4277
473	3846	4268
474	3854	4259
475	3860	4250
476	3867	4240
477	3875	4232
478	3882	4222
479	3889	4214
480	3897	4205
481	3904	4196
482	3911	4187
483	3919	4178
484	3926	4169
485	3933	4160
486	3942	4152
487	3950	4145
488	3959	4137
489	3967	4129
490	3975	4121
491	3985	4114
492	3993	4106
493	4001	4098
494	4009	4090
495	4018	4083
496	4027	4075
497	4036	4068
498	4044	4060
499	4053	4053
500	4062	4045
501	4070	4038
502	4078	4030
503	4087	4022
504	4095	4014
505	4105	4007
506	4113	3999
507	4121	3991
508	4130	3984
509	4139	3977
510	4149	3970
511	4157	3963
512	4166	3955
513	4175	3947
514	4184	3940
515	4192	3932
516	4200	3924
517	4208	3915
518	4216	3907
519	4223	3898
520	4232	3890
521	4239	3882
522	4247	3874
523	4254	3865
524	4262	3856
525	4270	3848
526	4277	3839
527	4285	3831
528	4292	3821
529	4300	3813
530	4307	3804
531	4315	3795
532	4321	3786
533	4329	3778
534	4336	3769
535	4343	3760
536	4350	3750
537	4357	3741
538	4364	3733
539	4371	3723
540	4378	3715
541	4386	3706
542	4394	3698
543	4402	3690
544	4411	3682
545	4419	3674
546	4428	3667
547	4436	3659
548	4444	3651
549	4452	3643
550	4461	3635
551	4469	3627
552	4477	3619
553	4486	3611
554	4494	3603
555	4502	3595
556	4510	3587
557	4531	3589
558	4539	3581
559	4548	3573
560	4556	3565
561	4565	3557
562	4573	3549
563	4581	3541
564	4590	3534
565	4598	3525
566	4605	3517
567	4614	3509
568	4622	3501
569	4630	3493
570	4639	3485
571	4648	3478
572	4657	3470
573	4665	3462
574	4673	3454
575	4682	3446
576	4690	3438
577	4698	3430
578	4706	3421
579	4713	3413
580	4721	3404
581	4729	3396
582	4737	3388
583	4745	3380
584	4753	3371
585	4761	3363
586	4768	3355
587	4777	3347
588	4784	3338
589	4792	3330
590	4799	3321
591	4807	3313
592	4815	3305
593	4823	3296
594	4831	3288
595	4839	3280
596	4847	3272
597	4855	3263
598	4862	3255
599	4869	3246
600	4876	3237
601	4883	3228
602	4891	3220
603	4898	3211
604	4907	3203
605	4914	3195
606	4922	3187
607	4929	3178
608	4937	3170
609	4945	3161
610	4952	3152
611	4959	3144
612	4966	3135
613	4974	3127
614	4980	3118
615	4988	3109
616	4995	3100
617	5002	3092
618	5009	3083
619	5016	3074
620	5025	3067
621	5032	3058
622	5040	3050
623	5048	3041
624	5056	3033
625	5063	3025
626	5071	3017
627	5078	3008
628	5086	3000
629	5093	2991
630	5101	2983
631	5108	2974
632	5116	2966
633	5123	2957
634	5130	2949
635	5138	2940
636	5145	2932
637	5152	2923
638	5160	2915
639	5167	2906
640	5174	2898
641	5181	2889
642	5188	2880
643	5195	2872
644	5203	2863
645	5210	2855
646	5218	2847
647	5225	2838
648	5232	2829
649	5239	2821
650	5245	2812
651	5253	2803
652	5260	2795
653	5268	2787
654	5275	2778
655	5282	2769
656	5289	2761
657	5297	2753
658	5304	2744
659	5311	2736
660	5319	2728
661	5326	2719
662	5333	2711
663	5340	2702
664	5347	2693
665	5354	2685
666	5361	2676
667	5369	2668
668	5376	2660
669	5384	2652
670	5392	2643
671	5399	2635
672	5406	2627
673	5413	2618
674	5421	2610
675	5428	2601
676	5435	2593
677	5442	2585
678	5450	2576
679	5457	2568
680	5465	2560
681	5471	2551
682	5478	2542
683	5485	2534
684	5492	2525
685	5500	2517
686	5510	2510
687	5521	2503
688	5535	2498
689	5544	2491
690	5552	2482
691	5559	2474
692	5567	2466
693	5575	2458
694	5583	2450
695	5590	2442
696	5599	2434
697	5607	2426
698	5616	2418
699	5623	2410
700	5632	2402
701	5640	2394
702	5649	2386
703	5657	2378
704	5666	2370
705	5674	2363
706	5683	2355
707	5690	2347
708	5700	2339
709	5708	2331
710	5716	2323
711	5724	2315
712	5732	2307
713	5739	2298
714	5747	2291
715	5755	2282
716	5763	2274
717	5770	2266
718	5778	2258
719	5784	2249
720	5792	2241
721	5799	2233
722	5806	2224
723	5815	2216
724	5822	2208
725	5830	2200
726	5837	2191
727	5845	2183
728	5852	2175
729	5859	2167
730	5866	2158
731	5873	2150
732	5881	2142
733	5889	2134
734	5897	2126
735	5904	2117
736	5912	2109
737	5919	2101
738	5928	2093
739	5936	2085
740	5945	2078
741	5955	2070
742	5963	2062
743	5972	2054
744	5980	2047
