iter	Logloss
0	0.6494392647
1	0.6113264067
2	0.5754634007
3	0.544809912
4	0.5171990845
5	0.4977353937
6	0.4805939248
7	0.4652919683
8	0.4529868919
9	0.4423035983
10	0.4317300055
11	0.423861849
12	0.4152489661
13	0.408419569
14	0.4016353618
15	0.3955321563
16	0.3888431851
17	0.3829375667
18	0.3784847123
19	0.3737086909
20	0.3694943667
21	0.3646795889
22	0.3609593979
23	0.3583926172
24	0.3557638947
25	0.3521185841
26	0.348853933
27	0.3465048935
28	0.3436523706
29	0.3411204411
30	0.3389214662
31	0.3365063862
32	0.3342196848
33	0.3322804245
34	0.3304552368
35	0.3285345803
36	0.3267710494
37	0.3245768459
38	0.322966114
39	0.3212090124
40	0.319402961
41	0.3175565147
42	0.3157608148
43	0.3146537515
44	0.3128551052
45	0.3110187295
46	0.3097987104
47	0.3082447968
48	0.3071390125
49	0.3056849366
50	0.304342144
51	0.3030966458
52	0.3020078602
53	0.3010582327
54	0.3000823425
55	0.2983042722
56	0.297432248
57	0.296090931
58	0.2947559743
59	0.2934806082
60	0.2925932032
61	0.291173661
62	0.2901974076
63	0.2893942983
64	0.2881035393
65	0.2871648587
66	0.2863845223
67	0.2852663177
68	0.2844947853
69	0.2837043898
70	0.2830189822
71	0.2821515379
72	0.2812958684
73	0.2799792595
74	0.2791723588
75	0.278347787
76	0.2775012513
77	0.2768862359
78	0.2760576954
79	0.2750391923
80	0.2743054246
81	0.2733907993
82	0.2724873129
83	0.271914914
84	0.2710221229
85	0.270305605
86	0.2696477347
87	0.2686339075
88	0.2677736156
89	0.2671536515
90	0.2664326933
91	0.2659012683
92	0.2655246189
93	0.2647218374
94	0.2637068472
95	0.2633248835
96	0.2626606423
97	0.2619954736
98	0.2613180476
99	0.2608187393
100	0.2600040069
101	0.2595619572
102	0.2590291433
103	0.2584878528
104	0.2578813579
105	0.2573659897
106	0.256702738
107	0.255819402
108	0.2551439168
109	0.2545261842
110	0.2541361474
111	0.253662346
112	0.2530580051
113	0.2525808598
114	0.2520092779
115	0.2513602808
116	0.2508560577
117	0.2502697251
118	0.2498225354
119	0.249510735
120	0.2491132296
121	0.2484777062
122	0.2480257929
123	0.2475144655
124	0.2470929347
125	0.2466170276
126	0.2463651635
127	0.2458723422
128	0.2453956277
129	0.2449130456
130	0.2446612589
131	0.2442050077
132	0.2438243015
133	0.2435721047
134	0.2429783141
135	0.2426407568
136	0.2421110989
137	0.241760937
138	0.2412401816
139	0.2409517155
140	0.2405440776
141	0.2402826822
142	0.2400068428
143	0.2396256982
144	0.2393126388
145	0.2391134448
146	0.2385815128
147	0.238092525
148	0.2376570317
149	0.2373370523
150	0.2369916892
151	0.2366004455
152	0.2363451235
153	0.2361684365
154	0.23561439
155	0.2353688523
156	0.2349942456
157	0.2347120173
158	0.234372414
159	0.2340203753
160	0.233718381
161	0.2333465087
162	0.2329302051
163	0.2326830965
164	0.2324525292
165	0.2322433383
166	0.2317844581
167	0.2315027637
168	0.2310540698
169	0.230698944
170	0.2303707717
171	0.2299033056
172	0.229431846
173	0.2291440842
174	0.2289897432
175	0.2287978381
176	0.2285467368
177	0.2282255933
178	0.2278836984
179	0.2276284096
180	0.2273607414
181	0.2269696978
182	0.2267504212
183	0.226613863
184	0.2263469663
185	0.2261036398
186	0.2257351148
187	0.22524188
188	0.2248656829
189	0.2244941935
190	0.2242522743
191	0.2237584
192	0.2235153054
193	0.2232259083
194	0.2229270746
195	0.2227056208
196	0.2223431342
197	0.2220742682
198	0.2218257068
199	0.2215810536
200	0.2213578663
201	0.2211580058
202	0.2209263912
203	0.220608565
204	0.2202926382
205	0.2200344066
206	0.2196805889
207	0.2194550087
208	0.2191795761
209	0.2189883148
210	0.2187574642
211	0.2183973264
212	0.2181280129
213	0.2177924676
214	0.2176126249
215	0.2174436827
216	0.2171570075
217	0.2169665492
218	0.2166592978
219	0.2164150529
220	0.2161022471
221	0.215844844
222	0.2155188278
223	0.2153242805
224	0.215169253
225	0.2148534118
226	0.2146770458
227	0.2143873504
228	0.2141077342
229	0.2139575901
230	0.2137313789
231	0.2135078444
232	0.2133346401
233	0.2130370256
234	0.2126647099
235	0.2124005463
236	0.2120847102
237	0.2119075535
238	0.2115615115
239	0.2113173865
240	0.2110950171
241	0.2107263193
242	0.2105400623
243	0.2102768181
244	0.2101437393
245	0.2098856373
246	0.2097432184
247	0.2095132246
248	0.2092560279
249	0.2089982521
250	0.2087277092
251	0.208474267
252	0.2082124108
253	0.207926998
254	0.2076991204
255	0.2075214274
256	0.20727322
257	0.2070255984
258	0.2068300733
259	0.2065415195
260	0.2063130635
261	0.2060841801
262	0.2058307491
263	0.2055880611
264	0.205317326
265	0.2051234531
266	0.2049564338
267	0.2047620399
268	0.2045474295
269	0.2043366708
270	0.2041143975
271	0.2039739928
272	0.2038128456
273	0.2036632212
274	0.2035069649
275	0.2032396715
276	0.203061944
277	0.2029336936
278	0.2028013577
279	0.2025219088
280	0.2023300586
281	0.2021736876
282	0.2019990457
283	0.2018441363
284	0.2017602844
285	0.2016314952
286	0.2015092558
287	0.201311934
288	0.2011086796
289	0.2008485894
290	0.2006635214
291	0.2004791515
292	0.2003254767
293	0.2001399227
294	0.2000032994
295	0.1997533602
296	0.1996027407
297	0.1995023343
298	0.1993496858
299	0.1991641804
300	0.1990315806
301	0.1988903702
302	0.1986671681
303	0.198458048
304	0.1982930914
305	0.1981007686
306	0.197982495
307	0.1977900013
308	0.1976224389
309	0.1975404211
310	0.1973949187
311	0.1972107468
312	0.1970105373
313	0.1967538052
314	0.1965195386
315	0.1963523658
316	0.1962281497
317	0.1960205304
318	0.1958648625
319	0.1957539506
320	0.195603073
321	0.1953224115
322	0.1951927609
323	0.1950297536
324	0.1948929276
325	0.1947652986
326	0.1945890915
327	0.1943934812
328	0.1942860384
329	0.194191019
330	0.1939951218
331	0.1938831171
332	0.193741453
333	0.1935913375
334	0.1934907096
335	0.1933654748
336	0.1931367526
337	0.1929904099
338	0.1928909164
339	0.1927945244
340	0.192627687
341	0.1924405349
342	0.1923047963
343	0.1922039436
344	0.1920800881
345	0.1919431038
346	0.191818842
347	0.191652453
348	0.1915287706
349	0.1914242439
350	0.1913142348
351	0.191171674
352	0.1910322641
353	0.1909163412
354	0.1907620701
355	0.1905793912
356	0.1904756805
357	0.1903681275
358	0.1902526275
359	0.1901225253
360	0.1900314594
361	0.189855121
362	0.1896538282
363	0.1895682938
364	0.1894106331
365	0.1892701116
366	0.1890895709
367	0.1889877025
368	0.1889258569
369	0.1887412493
370	0.1885681891
371	0.188403624
372	0.188223041
373	0.1880812894
374	0.1879156278
375	0.1877814353
376	0.1876232498
377	0.1874764717
378	0.1873815339
379	0.1872373775
380	0.1870603167
381	0.1868859212
382	0.1867366775
383	0.1866252515
384	0.1864987387
385	0.1863560674
386	0.1862747302
387	0.1861203883
388	0.1859128117
389	0.1858375948
390	0.1856716483
391	0.185555256
392	0.185470461
393	0.1853790448
394	0.1852309686
395	0.1850897721
396	0.184968386
397	0.1848738999
398	0.1847925587
399	0.1847571792
400	0.1846309756
401	0.1845797552
402	0.1844545369
